Accession,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7
Q00341,2783173.344,2217401.375,1655593.781,381555.2813,1218170.031,2883436.188,1909129.281
P59998,2970576.844,3118999.438,3938399.078,5507215.5,5408780.953,8082832.078,7224401.906
Q14671,7962513,4157778.25,2143943,5290897,3269766.5,1755756.969,2186436.25
P01019,1075208.875,159781.4063,8066216.25,2245675.5,5049487.75,3099625.25,7856683.75
P01593,4045017.5,2139239.75,2349640.25,4360191,4120287.5,1733088.875,1214766
Q07065,2451644.688,6937646.969,3409156.953,4044881.063,5199054.688,1751113.75,3344134.75
P84103,1729419.094,3984138,207025.8594,5494641.109,8008945.688,8247770.344,2349451.219
Q9Y6K9,0,0,3632013,790739.125,345144.6563,45193944,0
P29144,1811271.625,4361897.344,0,2096819.219,749675.25,3701983.219,406404.0625
O00763,2005809.063,1506972.547,6392306.258,3070645.109,4212247.75,4825501.297,6131612.594
P50991,2225818.586,3426885.914,3772289.688,5275337.438,2431646.75,4561312.688,4831654.547
Q7L5Y9,8373447.031,1249078.266,4675683.875,795271.0625,6174379.5,272953.3438,4273172.547
P18428,3623238.906,3370591.953,228858.0781,1880260.281,2188301.688,5384224,513958.6406
P01743,6423866.438,1339053.906,1792973.813,2094477.656,2845284.188,492158.8125,2245538.844
P24534,1525493.5,2915948.563,9466815.594,4131307.25,1187617.297,6618933.836,5982265.438
P07477,1851329.625,6954894.5,4030164.729,1670232.375,4029962.115,4759957.102,3658229.5
P10412,8231096.719,3290254,1895127.438,3238679.516,3570641.422,3361423.344,3694271.75
P09661,13533160,2456578.75,0,9941715,2477982,551987.75,2345380.5
A0A0G2JS06,4659666.5,1425107.125,6412995,4874942.5,2775557,2852887.25,5302224.5
P23142,774619.6563,2774279.953,15246783.42,538505.9844,165192.1719,4118517.141,228130.375
P27361,5064366.016,16729267.72,885125.3125,3063291.563,1627929.156,465450.6406,1509976.125
P13645,670942.5781,362399.4688,3272811.813,852168.2813,919647.3438,4406550.719,280901
Q9UKK3,4315033.297,1054260.719,4154485.438,2848060.281,1521561.625,20346525.22,567966.9063
P09488,3099078.125,2757023.219,6474683.344,5472662.875,4617547.797,3079153.078,3581898.891
P26640,8945666.234,15210217.36,1638077.016,1019467.984,3007741.422,3826086.938,635010.5938
Q9Y624,2494751.938,5344821.938,127596.5469,916901.8594,5061017.172,8200312.734,4417095.875
O43633,1900146.75,8527972,817326.875,1406383.375,2214326.5,20562101,2592800.5
Q9C0D7,5981102.5,2472502.5,857129.875,686714.9375,5240817,1807518.125,924768.8125
P62136,1263188,8078830.875,1116868.5,1045782.688,1881232.469,5419624.344,1261251.375
P62280,1529466.375,1677390.313,8975860,5769057.391,3361261.641,3404558.484,5488174.516
Q9NYL2,2572925.625,975879.0156,10662993.08,5880098.656,3551006.172,2826796.344,3455928.094
P62753,2642683.328,3093386.906,4281664.281,2961738.406,1909539.063,1470661.078,4936234.266
P35030,2704966.25,3291832.25,5517051.5,4191736.75,3782899.75,3150828.5,4204342
Q9BQE3,4300272.938,945514.0859,383733.4766,3602041.875,8613044.18,3590704.5,1929161.719
Q9UFC0,5409526,4253085.5,3013520,2853750,5601785.5,5367422.5,3034181.5
P35555,7136302.281,1028458.016,11634650.88,3422243.711,2479331.891,2451783.813,11312523.73
Q08945,4524900.375,3407658.438,3833721.406,0,6782218.375,4100575.563,5210431.5
P05187,1223123.656,5342897.656,5902991.844,6604453.438,1616397.813,2543143.875,2827017.125
Q9NQR4,2443326.438,534623.3906,8310538.813,3459457.719,4995878.125,3569158.625,3703277.719
P61247,6056138.391,3554356.031,6034424.188,1906553.203,4870904.453,3668260.844,3442497.68
P21589,1677408.938,2760985.969,5235834.578,3350206.469,4411177.43,3552330.109,3388313.43
P49721,10680433.52,1059398.805,158740.5,3870353.5,3783194.813,1761412.938,672313.0625
Q9Y6M1,3646148.25,4180014.719,2303700.688,2690763.594,2812135.125,1710168.5,3081574.156
P09012,10058866,1259282.625,1822968.875,3559467.75,3445088,2466638,2236294.25
P43121,4825092.531,6198920.656,3905990.375,1482395,2823185.125,2979599.5,5029238.5
P46939,1553041.25,3162514.578,8179047.5,5419120.781,3875763.75,1628040.625,5252268.594
P07339,2302135.656,568869.625,2989716.5,2990397.875,5000832.531,2435029.578,7186877.125
P01767,14227012.5,2103902.203,0,1396134.25,7368679.75,213848.3594,503562.1875
P62826,5012237.813,5266730.563,1216909.938,1588153.422,1349128.266,2557610.781,3111916.188
P29401,11259132.91,2081785.906,4259014.875,822833.7813,4704435.75,4940344.773,2826229.516
P58107,7875557.672,2134251.219,4209586.313,484642.0625,2076058.406,4855655.625,4144164.5
O94979,3381102.453,7091511,2928255.594,2904023.625,5354010.297,1076776.938,1667792.5
P14543,6381179.125,272157.75,2128571.906,4718428.406,3463026.578,8934379.688,2390771.938
P78347,6514554.438,2124909.75,3821279.359,3438736.328,5013585,355904,2923469.438
P48735,3428786.125,1486843.313,2711853.75,602494.375,5909635.25,6137684.438,3156857.094
P07910,8011978.75,1864206.688,3154229.125,2286106.523,2318757.188,2068854.594,3747123.281
P17096,6747286.313,9452402.813,309633.5313,569877.4375,998957.6875,0,2276304
P45880,9251222.453,1086895.25,1935486.547,2014874.063,856098.1875,8748605.75,558184.2188
P49746,3284786.906,4476170.5,901204.4219,1549624.172,3014966.797,4640167.969,5084363.25
A0A0J9YXX1,11075346.97,1881318.531,2675677.594,2873365.125,3826271.781,0,4740364.625
O00571,795796.5938,2073099.5,9058769,207072.75,6099984.5,685617.875,6841407.5
P62906,1893515.578,8236271.656,298744.9688,8710602.594,9930920.875,7009878.219,502471.875
A0A0B4J1Y9,8680115.344,3825704.281,0,0,3025906.75,447101.3438,448405.4688
A0A0B4J2H0,3385813,928436.125,0,969807.75,1952785.063,1751681.875,927709.4375
P46940,4786658.75,2320255.281,2827001.625,2315671.297,2622087.281,2755160.102,6340683.422
P27348,1714803.031,5375341.359,3956647.531,3038090.969,4603102.844,10710614.52,4052434.469
P61769,2534511.656,4988392.813,1316754.813,1768904.844,2725936.125,9392983.875,1721475.219
P11172,4436852.5,7068497,1753959.25,1981067.25,3633068.969,0,2261719.625
P55899,7056879,0,3722832.25,0,1441529.188,983984.75,1952646.719
Q06210,7083133.188,2527275.469,2699534.406,1974422.547,5832021.438,3200583.563,1654078.984
P47914,2908393.656,903563.4375,6407605,6611217.344,4325688.656,2040118.781,4900635.5
P41214,1850257.125,1869027.25,2456830.5,0,5508781.5,14418932,5484925
Q96A32,6676853,0,4374795.5,0,8487299,7437378.5,4864609.5
P35606,663478.2656,4036228.656,2055025.291,3121868.031,2357276.5,3517572.813,5592983.216
P42166,1683125.625,1096535.375,10523724,5264276,3142182.25,1040937.375,5844222
O75351,4082122.688,2805923.188,3675997.25,6747114.75,2632303,3271469.125,5369249.5
Q9Y617,3095453.133,812098.5625,6857799.375,2610925.438,1561430.281,3356563.094,4968492.469
P23443,2665079,1801745.125,3335645.25,4430131,6311534.5,11529326,0
Q96TA1,5852995.375,3415252.313,0,997038.75,1066772,462544.1875,1865903.109
P40763,6546463.469,1923610.625,2398093.797,1574458.234,2211273.703,2200277.781,3482652.766
Q96DH6,5581047.5,3133087,4026068.438,4336489,3990071.5,1697068.625,1954830.875
P78386,308055.5,86867.19531,22479.22852,5081222.5,59356.82031,3325860.031,31663791.77
P69891,4368060.125,5302112.781,0,1795090.563,5085628.969,2560531.719,1306820
P16401,3585131.313,1283710.125,5163173.25,4436570.219,3905341.438,6628907.688,5285319.656
Q9UDY2,6934583,2500613.438,1326356.18,1688025.797,2066943.055,1532132.781,3766076.344
Q08477,1114932.125,1357066,2593057,0,6297117,2390512.25,8127966
P15559,4461400.531,8261154.5,5270380.164,1246052,2740659.141,4327088.43,491014.1563
P02538,2933259.625,1699836.984,2459665.25,3865997.625,2388119.047,3980834.344,346752
O00429,847410.9531,2073416.906,9494330.688,972790.625,3720785.844,4262897.563,4510834.438
P23526,2725643.344,3750880.984,4461681.625,2590252.563,2316607.938,1910419.875,3479934.125
P00915,5453152.313,2724958.563,3040914.5,4378097.938,5110263.469,3174468.813,2297818.438
Q9Y262,3996152,2142140.188,3417913.313,4180889.266,3166078.016,4202902.875,3551275.391
P20073,3664055.563,5714811.867,1813251.266,690525.7031,2365921.211,5597953.859,1654608.344
Q6S8J3,2405794,83870,3509980.5,1812800.375,3120868.617,519018.8359,7408803.25
P52272,2231867.773,3520443.297,2065991.938,3180069.227,3202764.563,7304702.844,2781442.031
P08708,4832541.453,3286167.125,985482.7031,3373301.805,670017,5342808.992,768925.5313
Q9P2B2,3322459.313,3700406.5,1477611.75,2101655.695,5331582.844,4365523.586,2821318.938
O60506,3951834.328,162404.6094,1152479.953,1246246.625,2370575.359,3056175.484,4112620.594
Q96P48,1352861,685335.0625,2274477.25,2668267.375,1451565.313,1074457.641,1635455.656
Q9ULV4,2756869.531,5501071.359,2039734.5,502602.5,4173628.516,13873505.75,3007689.281
Q16836,1819707.625,2093307.625,2059913.125,2785128.875,712002.2109,988452.7813,2461822.75
P59665,6268039.609,4244670.375,1204613.5,4253389.836,3638586.406,2685314,2203040.906
P51817,4565708,4339151.5,2248714.5,1868018.625,2460965.75,1410554.625,1325040.125
Q93100,1960871,1119201.625,5708033.078,5850567,3080797.281,1700622.25,3716442.5
P15170,8698376.625,2073510.141,2620331.656,1640231.078,2785002.516,13607179.63,698617.2969
O43490,3977730.984,3788485.438,6746556.188,4290179.758,1251010.375,2952219.125,4094340.625
P61160,1048993.125,2772428.703,2382952.188,1059464.5,3539252.734,11091064.72,5097633.359
O43776,1746025.938,381617.5625,6577847.516,6447042.625,3775956.25,450262.5625,6323938.625
Q9UM54,4004255.125,1232415.188,5243657.313,6785103.875,573061.3125,3243966.109,2706468.844
Q9BUP3,2446450.531,960877.125,5206306.156,6104207.844,3508318.75,2218875,3381517.328
Q9NUP9,1504666.719,1160907.469,4539473.938,3049322.688,2541298.625,2625718.25,1855212.406
P25786,3544557.766,3700605.016,7647263.219,3248941.547,1389985.359,3117351.703,2721791.422
O15371,5529011.25,2341383.094,6038187.938,5576331.813,2496084.344,4704396.25,1657864
Q9GZS3,3042527.406,614389.8125,10550682,2954958.375,3408500.813,1290762.625,2504923.25
P62820,1883899,5869745.906,1028604.375,1101445.875,7980741.984,9104442.078,2620651.719
P49736,5373162.813,4419479.063,2238784.5,2503516.75,1943165.297,1107070.75,1981704.469
O75832,2373057.75,389455.3438,820975.25,4266668.125,825143.625,1744928.531,1024764.344
P38606,2440944.344,4185823.914,6178250.125,3685093.641,2283596.219,3445803,2296684.781
P02549,765038.625,559134.2344,426101.625,8323958.75,8175842.438,8249439.234,1583055.844
A0A0C4DH29,2855540.5,0,0,975594.625,8742398.063,899891.9375,1583001.188
Q7L7L0,3805228.016,6024542.527,963847.3594,999542.5625,2042289.156,2436163.875,1974517.445
Q08830,338059.2813,402940.125,1679208.188,1503923.344,1201586.547,425623.5313,1400774.5
P52565,3646561.156,302756.5313,11083410.38,2830998.391,3054599.688,2581551.578,6481671.688
Q8WVJ2,6729411.906,6396829,1537603.75,1442741,0,918811.3125,2747867.75
Q1KMD3,4004845.438,5100503.688,1368705.563,1499711.813,944062.75,907073.125,1776504.656
P15104,1158282.469,2093095.969,7670067.5,5122681.063,2148630.25,1013457.375,4110231.063
P28161,322687.875,2244899.656,11279031.59,1719186.234,3110670.906,0,3278380.313
A0A0B4J1V6,1734457.625,1853222.938,7773922.5,299412.375,1179602.813,1539898.125,0
P0DP01,4371575.5,771670,0,0,1932417.641,2187828.5,0
P15090,341938.125,6791234.5,0,538115.9141,0,1925244.813,178552.7031
Q92616,282809.8125,4953277.031,413752.125,241170.25,876528.1875,3325223.563,4210574.281
Q07666,2038101.125,3420651.063,3301697.313,4277266.875,2000510.266,2031578.164,1650052.531
O60282,4625129,996724.4375,3153758.25,2099415.25,2647452.75,1247046.75,2354701.25
P23284,1405321.563,3236906.141,1923023.688,2420409.906,3729974.578,5817308.141,1589526.594
P09936,1690441.969,2317747.875,815666.7813,3076569.844,5246286.875,1049596.563,3328809.172
O00303,4224240.297,2269687.844,13372802.3,514363.9688,3242062.688,889756.3281,669370.1641
P06276,4264397.375,2468094.906,4336467.656,5522111,2905790.438,5553669.781,3329053.438
P36507,1812489.25,791536.75,7509875.563,2561423,1332410.125,1184325.781,7338257.813
P37837,1450827.969,2457001.406,1052521.859,1761794.141,608179.6094,5018322.25,812040.0938
P32119,2173212.5,488586.2969,0,727067.1406,15757157.83,8880605.766,1276057.063
Q9HB19,2364838.75,5630697,1269541.5,3073598.5,3801098.5,4752755,1906731
Q9BUJ2,3161393.688,2332770.469,2172589.625,650670,876108.125,0,2921907.625
Q8TB45,2165143.906,1099852.969,863862.4375,3066617.125,2525726.625,0,3380473.5
O14841,763940.0313,1438012,9156902.531,1236139.125,2272508.141,1965768.344,4474735.156
P27635,7345072.813,572901.7188,955419.3438,1779961.813,4013444.75,1617439.641,3059095.266
P21266,1175554.984,3631600.688,2070438.563,3152719.75,3486136.469,4710166.547,2362789.453
P16234,12553865,2303915.5,0,2470559.5,2287060.5,2058451.375,1887664.75
P48147,4087943.5,3325606.344,3207440.75,1006488.422,5753239,5335278.5,3774231.5
Q15050,10640886.75,391993.3438,0,6602745.25,624307.6875,4996417.5,171747.1719
P61254,3102361.875,4879473.156,1914364,2196253.5,1941819.125,1725636.25,2247169.938
Q13310,3430093.531,6545485.813,345795.3125,475294.4063,4143287.156,1672918.625,3090493.25
P51812,4186183.75,3565890,694494.6875,9370165,402083.1563,3020749,293617.0625
P08865,1237053.469,1983351.969,4191175.094,1289708.781,1901425.406,2564353.813,3480716.625
P33121,2614764.813,7805524.813,5256202.016,1094006.438,1936271.594,782589.0156,2459488.5
Q14019,2168322.602,3147882.75,5078383.25,2455187,653226.0625,4290793.438,4542212.719
P00352,340263.8125,1666312.094,3603713.984,1712259.875,8805095.719,2558831.648,3855888.484
Q9Y2L1,5638612,3548064,2039553.125,3121363.813,3754763.281,1512657.375,3571419.25
P62195,3915058.719,2938926.719,4583692.563,2983072.039,1882793.641,1349895.563,1629048.656
Q8IZ83,625205.9531,3270108.25,2719994.625,2487344.625,3702683.25,2030970.625,3739760.078
P49257,2319489.719,1908458.641,1966410.719,2256030.094,4114241.188,1553278.719,3116077.109
P15328,1613140.188,3652091.5,1428721.375,480858.3438,3532641.5,7729022.375,2972886.531
P26373,1731439.688,3515859.969,2749886.031,3660862.734,3698870.602,6572713.781,1329029.109
Q14103,5425123.594,1135487.125,3254799.531,2578609.594,3843394.297,1486647,2992487.844
P31946,870911.8125,3348791.781,469675.4688,1832147.75,2491922.984,13616417.85,4204821.008
P23246,2581074,2564335.75,5488611.094,1715691.531,1146808.453,6867045.031,3533833.523
P15169,904489.625,1487064.969,5732941.227,4298132.594,297719.7188,2310989.461,3961470.359
Q8N6C5,924646.875,170796.2813,23334775.97,434904.6875,1018299.063,0,4533269.563
P11171,419830.1875,4344936.688,4565652.313,6713029.125,3044191.688,3338788.438,3262989.781
P17655,2320688.625,945678.2813,3117065.828,4892531.563,1589561.031,7527488.875,2241067.766
Q9UPN3,3129766.281,2977561.5,2582623.703,3134321.563,3435354.313,1830525.391,5288789.438
P33176,3376855.719,2352678.719,3525265.406,731768.125,2998615.109,2241333.422,2423665.938
Q04941,2459443.75,668037.25,5437091,5153206,2369989.25,1360074,3516403.5
P06737,2992349.477,1694089.973,8955447.156,2926686.18,1153859.121,5185457.98,1446698.063
O43491,6092351.656,1747454.906,1681689.5,3358017.078,2604073.031,1622365.719,1298451.563
Q07866,5222382.063,2723123.781,624878.9375,1893277.125,4107415.469,3376691.75,1388324.875
Q99829,3532376.375,1471857.609,2001015.688,1770341,1434466.875,2210675.594,3718784.938
Q9UGI8,365057.4063,0,9983034,127414.3984,2618085.75,986275.3125,4199481.563
Q13126,2796636.25,1193227.625,972205.5625,0,818360.5625,20705538,0
P20591,3133748.484,2249514.656,2662630.219,6465563.719,1683335.164,3695866.992,908349.3281
Q9Y3I0,2520908.031,2055095,4280362.313,1564515.203,1138999.594,3088784.609,1384233.844
P34932,2134254.063,1870190.75,2608597.688,858653.4375,3211202.758,1418105.641,2033041.031
P11217,10227062.88,4554840.469,1227849.938,1052612.031,0,989532.8438,0
P00338,1061004.438,4673884.758,1418098.813,427066.9688,3900919.789,9711953.219,2959166.281
P46087,5685704.063,902837.25,3802591.344,2512240.125,4018326.156,0,1093452.609
Q9BSJ8,871792.375,1153506.008,204672.9688,19790235.61,998554.3125,339924.2188,1910883.875
P0DP08,4235632.5,2618423.438,0,995980.6875,2179599.781,1551582.625,1093264.25
O00291,1267099.328,649122.3281,6548284.891,1121775.594,0,2541514.563,234914.9063
P09874,2766137.813,1098685.125,4258978.875,0,3363951,1995378.25,5970294.313
P53999,3900391.844,1478290.969,2878563.406,2807573.656,1558664.625,1359691,1993592.438
Q9Y3C6,1108188.375,3048515.75,9404959,1115602.125,735467.625,1301339.75,7300228
Q8N1F7,3506179.5,845794.1406,4818345,3382411.563,1712820.625,2535797.5,2814383.25
P11166,3603149.672,3028792.594,2541744,1223892.797,1020432.477,1039870.531,1158476.906
P08243,3019675.688,3164401.781,2691673.625,2324225.688,2648541,2372963.375,4838014.953
P43686,5590959.641,2753537.156,2538993,1863274.094,4682002.875,2039435.828,291389.5625
Q9NVE7,1579677.188,2053569.813,2547783.625,4125187.125,2357054.781,7231039,1636944.063
P41252,3491544.828,2280155.383,4889067.938,2912694.094,2908252.563,2314451.875,708195.1563
O14558,3653242.188,2705601.563,1744751.844,4214369.297,2540031.109,1419658.344,2039689.563
P41250,3768635.469,1843870.531,1128796.063,1248266.438,1748303.484,3185222.125,192681.1406
Q7L1Q6,4149867.25,1734487.656,384843.8438,1933900.344,2142552.25,631743.75,1137562
P24821,2431305.406,1751664.75,2587962.078,538830.625,1537267.25,261787.2969,1151468.594
P35222,3260368.063,1860959.727,3100249.063,2975181.594,2809502.531,3448506.469,1833859.594
Q9BUT1,3643190.313,2324763,1284241.313,1626675.781,2167446.313,4437858.75,1119690.625
Q9Y4Z0,0,0,16991122,118716.7656,2783287.75,0,4778213
Q14CN2,632921.6875,1554461.563,4861050,6648343,1223864.625,3683825.75,1528905.563
Q6PCE3,3506179.5,612606.875,4818345,2980337,1517598.125,2535797.5,2814383.25
P36578,1109972.406,3972873.859,737064.4531,1882614.656,4063199.125,3401848.125,2274647.297
P61081,6195641.375,3820504.406,569685.6563,0,1604246.875,820947.1875,1396470.625
P17301,1209739.844,1402519.344,551517.9375,2017271.266,2717681.406,11119391.47,4068974.844
O43684,6356603.156,1663541.625,3871047.063,0,242216.4688,0,3002640.625
Q9Y678,1625709.469,2843719.156,2060570.563,1172089.5,4648268.406,4640185.875,3237713.281
P13929,2800117.063,2361624.938,3872841.813,2298898.172,2271331.859,996282.0625,4076908.281
P13804,1779994.625,2001288.781,6071859.688,3975704.875,2177378.625,1538132.438,3335323.375
P18621,2511299.5,2745742.563,2561949.875,4332295.344,218026.4219,4598143,1220235.344
P28482,2843640.219,3639497.25,773735.8125,2031078.094,4261377.438,3902937.281,1745699.031
P47895,1123305.75,2500856.438,3647975.594,1636158.156,3484164.547,5197046.477,3551953.25
O60488,522808.5313,1646913.484,1350092.547,1236574.219,3053240.953,5758588,8148525.406
P13611,2717773.719,3464704.219,3404526.125,784850.0313,3574791.906,1428171.805,4447266.453
P35232,2655126.25,2279770.5,2133793.25,1427799.625,890637.25,373443.3438,1753963.813
P12429,4169512.969,2797313.094,1996618.188,1283751.32,1061828.609,7792054.031,1685043.203
Q7Z6Z7,184569.2031,0,0,4291845.25,5836199.563,4268181.5,916586.5
P55268,8056034.625,432452.9219,1437481.625,1219643,788807.8125,2236136.313,2991727.25
P05455,2301570.188,1116194.5,4647811.391,2822016.906,1908815.375,1020474.719,4423384.875
Q01469,800652.25,0,7176494.125,2592165.5,2493875.242,2416065.875,3059944.375
P34913,2214900.219,2223874.438,3388107.352,906487.4063,3125213.469,1921896.594,1260788.5
Q9Y3U8,0,767756.3125,19433087.25,4821749,784889.75,626291.875,925934.7813
Q9BVA1,3129295.125,226148.3594,1696393.969,2653129.047,3840700.531,1868912.813,2296937.469
Q13523,0,0,1524243.375,790543.6875,1406964.75,909801.0625,3249594
Q15386,285421.7188,0,2845144.75,0,418371.625,13474881.53,5656206
Q14152,3853820.875,3255927.375,1117041.297,922452.75,1898692.5,3701899.906,641711.6875
Q15365,1551525.813,7929913.156,3221935.5,1083852.141,1428215.75,656346.3125,1396670.609
Q15046,966247.5938,415116.0938,1546679.344,3624166.188,2918508.156,6329515.688,1737724.719
P26641,1936790.5,1397421.172,1645191.594,1916433.219,3830700.344,1952246.25,912722.2344
P49792,4721711.375,4485613.438,617904,3034498.625,3712564.375,750159,1143482.375
Q8WWZ8,3704641.922,0,0,1180327.344,223370.375,427145.375,1120851.969
O60701,4592705.938,2397456.25,1936192.297,2889601.797,1428921.688,5383481.25,1623846.25
P55209,1744562.719,2884785.063,3390972.906,570616.9375,2069372.906,5094690.859,1401445.625
P56597,8021377.5,0,0,0,2882558,0,2067857.125
Q9UBL3,344816.9688,0,0,0,13859660.31,3616960.625,0
Q6UVK1,4359184.531,1305356.852,4326405.563,1471299.781,1198505.594,656395.1875,961405.6563
Q99685,4570920.25,2283127.016,674594.8125,3538934.688,2366390.625,1964979.25,2464415
Q13347,2738505.68,566794.2656,4282797.828,737029.9375,7449411.891,2522085.594,524277.875
P62191,2706992.344,2881029.406,3318585.344,3276728.594,2627529.938,1704551.516,2288937.25
O00186,2858113.875,1164258.313,1408702.875,2434878.734,1911056.938,468152.5625,2212256.469
Q8IYI6,5450685,1054003.75,0,1638184.938,2393848.75,821489.0625,1268402.75
P62491,1443136.328,2359417.391,1173460.016,286018.8828,3607386.172,10329663.13,2556798.375
Q15661,614264.25,1419570.469,7421066.719,6516309.188,0,295220.8438,2414380.5
P52943,2706985.75,0,5544854.5,0,2397800.5,2949052.5,5526910.75
P61106,1065600.453,2086165.297,2588130.438,2331107.094,2241787.875,2394584.234,2499576.781
P02545,1291504.766,5448494.953,1468182.969,2928773.063,864489.4063,932924.2188,853226.8906
P20020,2394922.625,1840063.625,2688212.5,519010.9375,398953.9063,2513123.188,3346474.438
P13861,5218020.938,5120450.25,1354354.5,4609945.891,418238.0469,558487.4375,1218571.875
Q676U5,0,0,778789.125,0,7199179.5,1497773.375,3864072.5
P60903,4447284.563,3201244.766,5901047,487321.5,3300829.258,1674614.523,401062.375
Q8WXA9,3325943.188,237950.3281,3617181,0,1711245.125,1264285.25,4772647
Q9UKM9,4544908.125,384618.25,2103647.406,2453645.188,1313800.781,3190285.297,2402625.344
P25205,1577573.922,1527922.688,2945346.781,1079135.031,1313014.688,3177538.531,1006727.875
Q13464,834744.6875,449427,10105036.56,2124521.078,1316628.531,1549545.188,1968645.875
Q99613,6178347.438,1611816.438,1010698,2094297.594,1739010.594,1430669.688,0
Q04726,1502017,2846843,711180.9375,576522.4375,718703.3438,2326534.125,0
P09237,3523573.094,3362991.875,0,4288932.141,1045207.766,1210271.141,3153154.563
Q9NTJ3,1047099.688,137105.0625,2089884.625,393889.5313,3978962.25,3147068.313,2789410.688
P51570,1651823.031,2186658.016,2825863.938,868034.2813,2648949,7447614.141,2020877.375
Q92522,2674260.563,2488935.484,0,2251699.359,2575029.75,2940802.563,3460358.484
Q16777,496947.377,5472742.781,1100064.776,489125.7998,3803126.118,2470008.703,2157131.815
Q9Y3F4,1215424.75,619798.9063,6451968.688,0,4876821.938,4070235.75,402346.125
Q9NR19,3199375.188,1647857.469,0,779528.875,809453.6875,0,0
A0A087WSX0,4785431.5,636142.3125,542875.5625,1160286.5,622791.375,1335884.5,1907005.625
Q15185,1371081.563,4919626.406,1843124.156,6600758.813,2024986.125,2315057.406,1860191.516
Q92900,3200087.688,3478412.422,1908708.609,954858.5313,1194922.492,696869.7813,1279853.391
P53004,0,2539118.313,0,458451.8438,1903584.531,1580849.891,6350209.5
O95786,0,0,8007101.547,3497495,2197337.828,279052.0938,752614.625
Q96RT1,5858071.375,1485168.219,0,1472949.5,1743370.313,2494161.031,1452769.125
O15143,1017290.281,2593889.25,370714.0938,1751664.844,2996203.75,6851853.641,2398427.672
Q2TB18,1219263.5,441739.0313,5633653,2941429,1968964.375,1053204.5,2612471.5
P31949,1146026.875,3830322.781,188521.0469,291815.4063,0,5178590.25,369001.1094
Q7Z406,3981813.438,0,2401490.25,4106334.688,994724.5,724249.6094,1186068.875
O15511,545934.375,4014104.469,726134.625,394562.5938,2728565.25,6660843.938,1644869.188
O43252,1866372.953,1184549.813,2685237.938,4292302.188,2030014.75,1079959,0
P26447,1382916,2086490.5,1726206.375,1134268.875,3163361.781,5990538.781,2845877.078
O94906,717350.7188,482346.0938,9447413.5,3105064,886271,431755.375,2867468.375
Q6BCY4,1437588.344,1835984.625,3169024.5,4102088.438,3554949.313,1687003.906,1300022.094
P51151,0,963957.6875,10596840,0,1101034.75,469740.5938,1018728.938
Q9P0M6,1685333.938,2236554.047,1343440.891,2455419.406,644315.8125,6605987.406,1336637.75
P30041,4487524.016,1548821.594,0,274279.7188,1741163.031,7982932.813,1403390.359
P25789,1196093.797,1145871.156,1457214.688,817327.5313,1179613.063,1789562.469,1211609.438
Q9UHX1,1647213.5,0,2733722.313,793326.6875,0,453723.2188,1806398.063
P07237,1877567.969,2095880.297,1021893.875,835448.1875,2016554.109,2153480.938,286838.2188
Q9HD67,2508179.156,1480650.109,835905,2337893.375,2695956.063,3091912.266,974985.5
P62879,4669478.188,1232585.719,446855.1563,5981984.766,575487.75,3725209.484,668108.8438
Q5VWZ2,5101417.781,2693936.938,0,877370,1187758.953,465269.0703,1135725
P27694,2582761.313,2482997.859,1702200.688,2446701.094,1452410.563,821494.4844,2609864.375
O43390,1146682.25,2575902.875,686626.4375,3095128,4303545.375,301989.5313,1502074.563
Q13421,0,593712.5156,5302934.813,311825.6563,69751.35156,420974.7188,824087.5
P30481,625060.875,1380949.094,1678574.25,1827809.875,1870107.219,6443719.563,0
P08575,3673659.625,2903457.969,548578.5,1301613.688,2651303.406,1179230.625,3861672.344
Q9NZU5,5498336.281,368883.625,0,1596488.188,4273125.5,2764132.75,786650.6875
Q13619,3204053.063,1013967.75,2192055.719,2236765.406,2374144.391,1409189.875,3460073
P46782,2189761.906,1799041.453,1664256.844,3951949.031,2619706.188,253807.1406,2637477.703
Q96S19,0,2965699.75,2767746.25,3785068.234,0,3396023.063,2179555.25
P17844,857087.375,1548509.516,784437.6875,1829937.656,2408580.031,3596071.5,1647965.563
Q9UBR2,1837714.172,508112.5313,1858434.75,976610.3125,3876809.25,1158098.344,4423050.5
O14745,4238282.313,1309909.516,1531862.875,2456571.078,1711277.063,1887752.063,2047567.406
P62424,2204681.406,1120818.094,1457856.031,2338103.75,2385631.25,883359.9375,5085267.781
Q15366,2801215.563,4798489.5,625263.0625,1658603.234,3490452.938,0,1098413.281
P48444,1034357.537,519185.5156,0,1745623.063,937477.125,1682185.125,3189423.5
Q14525,449886.5625,1546908.25,457902.4375,1022452.375,890586.6875,194406.1094,19502863
P68431,4829811.281,0,0,2582197.563,1487499.656,2602841.281,559125.125
Q9UNH7,4186179.563,2705596.188,1181547.313,714079.5313,2863791.797,1715798.656,2043213.234
Q9BZQ8,2135938.938,1224405.906,2612618.063,786588.875,2233071.328,1382879.016,1759905.969
P01772,2941543.5,5441301.188,965742.875,929050.75,1009429.125,1122503.375,0
P61163,3789553.484,1292051.781,412741.5,2276159.695,304283.0781,1101562.016,2708298
P25325,1127367.969,997972.7109,875194.25,1972886.297,2833952.938,1055118.594,2631748.453
Q92783,1810903.375,1022667.5,3455692,592674,0,2557393,824945.5
P30044,316302.2188,641555.625,0,3396913.469,5748773.25,600615,0
